Country,the People's Republic of China,,,,,,,
Province,Henan,,,,,,,
City,Zhengzhou,,,,,,,
Start time," 00:00 on July 19, 2021",,,,,,,
2021/7/19,22:00:00,2.17402135,2.755751414,2.17402135,1.572824211,2.17402135,2.755751414,1.586734504
2021/7/19,23:00:00,2.243888704,2.835310344,2.243888704,2.050377592,2.243888704,2.835310344,2.248451393
2021/7/20,0:00:00,1.812527888,2.105610142,1.812527888,1.941020158,1.812527888,2.105610142,2.211826667
2021/7/20,1:00:00,1.792886574,1.095003553,1.792886574,1.341010001,1.792886574,1.095003553,1.43726673
2021/7/20,2:00:00,3.366562701,2.373563033,3.366562701,1.695410907,3.366562701,2.373563033,1.292747632
2021/7/20,3:00:00,6.147447461,7.653868664,6.147447461,4.325355822,6.147447461,7.653868664,4.190542549
2021/7/20,4:00:00,5.245310767,5.188258924,5.245310767,5.624433886,5.245310767,5.188258924,5.158618838
2021/7/20,5:00:00,4.19416395,3.543709824,4.19416395,4.811948352,4.19416395,3.543709824,4.316254333
2021/7/20,6:00:00,4.192340886,3.390537878,4.192340886,5.053991731,4.192340886,3.390537878,5.67680737
2021/7/20,7:00:00,4.824956227,3.519528452,4.824956227,5.843331059,4.824956227,3.519528452,6.90719448
2021/7/20,8:00:00,10.95065391,8.749005385,10.95065391,9.385769349,10.95065391,8.749005385,10.38504308
2021/7/20,9:00:00,12.65471159,9.572715126,12.65471159,11.27001364,12.65471159,9.572715126,12.38504145
2021/7/20,10:00:00,15.45508616,13.51838205,15.45508616,16.10503737,15.45508616,13.51838205,18.93044449
2021/7/20,11:00:00,18.36323608,20.93939725,18.36323608,20.46977766,18.36323608,20.93939725,24.9551855
2021/7/20,12:00:00,18.10401902,24.77238122,18.10401902,18.99220571,18.10401902,24.77238122,22.41324261
2021/7/20,13:00:00,17.40635969,26.73380021,17.40635969,15.68340417,17.40635969,26.73380021,18.28110013
2021/7/20,14:00:00,18.29864848,27.42213216,18.29864848,15.17031938,18.29864848,27.42213216,16.89283233
2021/7/20,15:00:00,19.62092221,25.40769093,19.62092221,16.88927002,19.62092221,25.40769093,18.202902
2021/7/20,16:00:00,19.41220779,19.57914177,19.41220779,18.90792903,19.41220779,19.57914177,21.80299815
2021/7/20,17:00:00,20.96866518,18.60032324,20.96866518,23.5254541,20.96866518,18.60032324,30.94181567
2021/7/20,18:00:00,25.01662988,25.23156032,25.01662988,26.6666159,25.01662988,25.23156032,32.43451528
2021/7/20,19:00:00,24.70288519,27.91719753,24.70288519,21.36939391,24.70288519,27.91719753,21.05169967
2021/7/20,20:00:00,18.96482203,22.99241032,18.96482203,12.81537004,18.96482203,22.99241032,11.11555528
2021/7/20,21:00:00,12.77241698,14.7895027,12.77241698,7.669479959,12.77241698,14.7895027,6.113827229
2021/7/20,22:00:00,8.96837404,10.66603046,8.96837404,5.79287326,8.96837404,10.66603046,4.803262185
2021/7/20,23:00:00,6.972794607,8.834633231,6.972794607,5.501323426,6.972794607,8.834633231,5.075966567
2021/7/21,0:00:00,6.676718127,9.484189656,6.676718127,5.84377069,6.676718127,9.484189656,5.826769676
2021/7/21,1:00:00,7.632654905,11.39945118,7.632654905,7.381944638,7.632654905,11.39945118,7.098236494
2021/7/21,2:00:00,8.911375422,13.32048196,8.911375422,9.58126802,8.911375422,13.32048196,8.908677287
2021/7/21,3:00:00,9.845065791,14.46120534,9.845065791,10.95178211,9.845065791,14.46120534,9.717386775
2021/7/21,4:00:00,10.30066665,14.64053113,10.30066665,11.27756322,10.30066665,14.64053113,9.249187075
2021/7/21,5:00:00,10.46512211,14.46102429,10.46512211,11.38050221,10.46512211,14.46102429,8.859184664
2021/7/21,6:00:00,9.334784746,12.01833822,9.334784746,11.04790242,9.334784746,12.01833822,8.959655184
2021/7/21,7:00:00,7.341497764,8.972819801,7.341497764,9.809951484,7.341497764,8.972819801,8.2340925
2021/7/21,8:00:00,3.391942894,3.74219832,3.391942894,5.707991403,3.391942894,3.74219832,3.90497027
2021/7/21,9:00:00,2.620652318,2.753012418,2.620652318,4.442076338,2.620652318,2.753012418,2.860180289
2021/7/21,10:00:00,2.340828557,2.803380741,2.340828557,3.640919365,2.340828557,2.803380741,2.396929264
2021/7/21,11:00:00,1.878420124,2.487340244,1.878420124,2.687311918,1.878420124,2.487340244,1.765897684
2021/7/21,12:00:00,2.025282173,2.644254081,2.025282173,2.584148082,2.025282173,2.644254081,1.899032481
2021/7/21,13:00:00,2.273360733,3.013860597,2.273360733,2.524927212,2.273360733,3.013860597,1.84756089
2021/7/21,14:00:00,2.411919879,3.296270594,2.411919879,2.507960564,2.411919879,3.296270594,1.690173894
2021/7/21,15:00:00,2.505101915,3.252011631,2.505101915,2.780736401,2.505101915,3.252011631,2.138082683
2021/7/21,16:00:00,2.280367375,2.934930311,2.280367375,2.734613721,2.280367375,2.934930311,2.246471588
2021/7/21,17:00:00,2.284250292,3.075630195,2.284250292,2.905799216,2.284250292,3.075630195,2.649836428
2021/7/21,18:00:00,2.251155814,3.027771413,2.251155814,3.055479261,2.251155814,3.027771413,2.99875997
2021/7/21,19:00:00,2.200944233,3.109209146,2.200944233,3.1380628,2.200944233,3.109209146,3.065574635
2021/7/21,20:00:00,1.946961251,2.582288766,1.946961251,2.899501263,1.946961251,2.582288766,2.746347338
2021/7/21,21:00:00,1.724015304,2.190154209,1.724015304,2.71720849,1.724015304,2.190154209,2.353870589
2021/7/21,22:00:00,1.257349388,1.536864799,1.257349388,2.144904085,1.257349388,1.536864799,1.747090369
2021/7/21,23:00:00,0.919039955,1.082563447,0.919039955,1.739022264,0.919039955,1.082563447,1.249689795
2021/7/22,0:00:00,0.773451483,0.920068938,0.773451483,1.478070673,0.773451483,0.920068938,1.083889045
2021/7/22,1:00:00,0.761586323,0.941049575,0.761586323,1.335108513,0.761586323,0.941049575,1.084878109
2021/7/22,2:00:00,0.812164613,0.935570849,0.812164613,1.343830931,0.812164613,0.935570849,1.174460538
2021/7/22,3:00:00,0.927356374,0.961370976,0.927356374,1.473436737,0.927356374,0.961370976,1.218509115
2021/7/22,4:00:00,1.276353362,1.294089784,1.276353362,1.880176971,1.276353362,1.294089784,1.50556583
2021/7/22,5:00:00,1.328533643,1.27380694,1.328533643,2.344452683,1.328533643,1.27380694,1.95743423
2021/7/22,6:00:00,0.993057818,0.760687731,0.993057818,2.30894736,0.993057818,0.760687731,2.091559768
2021/7/22,7:00:00,0.789249432,0.490279938,0.789249432,2.077681432,0.789249432,0.490279938,2.16827346
2021/7/22,8:00:00,0.31766766,0.231635937,0.31766766,1.383346051,0.31766766,0.231635937,1.410540193
2021/7/22,9:00:00,0.390809798,0.243079985,0.390809798,1.300817623,0.390809798,0.243079985,1.328876987
2021/7/22,10:00:00,0.514591491,0.298206872,0.514591491,1.416082727,0.514591491,0.298206872,1.280374266
2021/7/22,11:00:00,0.637428701,0.329794284,0.637428701,1.619472331,0.637428701,0.329794284,1.338281482
2021/7/22,12:00:00,0.710045424,0.387223705,0.710045424,1.814978756,0.710045424,0.387223705,1.620884053
2021/7/22,13:00:00,0.713302003,0.404319933,0.713302003,1.846649149,0.713302003,0.404319933,1.824793965
2021/7/22,14:00:00,0.689329917,0.404676294,0.689329917,1.760713686,0.689329917,0.404676294,2.042562515
2021/7/22,15:00:00,0.693270093,0.367966571,0.693270093,1.628229639,0.693270093,0.367966571,1.821328886
2021/7/22,16:00:00,0.481784932,0.242951847,0.481784932,1.073206204,0.481784932,0.242951847,0.998762436
2021/7/22,17:00:00,0.215813942,0.185363497,0.215813942,0.560989778,0.215813942,0.185363497,0.442958437
2021/7/22,18:00:00,0.076998461,0.109041684,0.076998461,0.370779695,0.076998461,0.109041684,0.291512534
2021/7/22,19:00:00,0.03084117,0.026896504,0.03084117,0.181037767,0.03084117,0.026896504,0.148973241
2021/7/22,20:00:00,0.01851685,0.011102035,0.01851685,0.115473957,0.01851685,0.011102035,0.079188868
2021/7/22,21:00:00,0.031742909,0.023318103,0.031742909,0.11359645,0.031742909,0.023318103,0.06533023
2021/7/22,22:00:00,0.084726811,0.083445513,0.084726811,0.161730904,0.084726811,0.083445513,0.140064955
2021/7/22,23:00:00,0.116921289,0.105959502,0.116921289,0.199665054,0.116921289,0.105959502,0.209353119
2021/7/23,0:00:00,0.180263502,0.166321686,0.180263502,0.265226859,0.180263502,0.166321686,0.291512534
2021/7/23,1:00:00,0.29336428,0.304780275,0.29336428,0.377690495,0.29336428,0.304780275,0.490966626
2021/7/23,2:00:00,0.448487035,0.553607888,0.448487035,0.480161933,0.448487035,0.553607888,0.575600378
2021/7/23,3:00:00,0.556485343,0.837787462,0.556485343,0.508180592,0.556485343,0.837787462,0.549368374
2021/7/23,4:00:00,0.557834515,1.045681501,0.557834515,0.544796203,0.557834515,1.045681501,0.545408763
2021/7/23,5:00:00,0.387464475,0.874039769,0.387464475,0.383352235,0.387464475,0.874039769,0.351397879
2021/7/23,6:00:00,0.216402169,0.438270569,0.216402169,0.314088038,0.216402169,0.438270569,0.22073742
2021/7/23,7:00:00,0.226244566,0.262764152,0.226244566,0.438935935,0.226244566,0.262764152,0.269240141
2021/7/23,8:00:00,0.054799053,0.046021874,0.054799053,0.122959154,0.054799053,0.046021874,0.136599876
2021/7/23,9:00:00,0.035703201,0.041090303,0.035703201,0.091815623,0.035703201,0.041090303,0.107893534
2021/7/23,10:00:00,0.026973496,0.030075293,0.026973496,0.070491151,0.026973496,0.030075293,0.076712854
2021/7/23,11:00:00,0.026482412,0.035365941,0.026482412,0.072026303,0.026482412,0.035365941,0.078198127
2021/7/23,12:00:00,0.036381552,0.048178606,0.036381552,0.100242271,0.036381552,0.048178606,0.118781626
2021/7/23,13:00:00,0.055848051,0.071069384,0.055848051,0.153801401,0.055848051,0.071069384,0.191536546
2021/7/23,14:00:00,0.062221133,0.075380708,0.062221133,0.178330386,0.062221133,0.075380708,0.222222693
2021/7/23,15:00:00,0.057020254,0.059477232,0.057020254,0.185658828,0.057020254,0.059477232,0.223211758
2021/7/23,16:00:00,0.054650817,0.060158451,0.054650817,0.185333296,0.054650817,0.060158451,0.215788744
2021/7/23,17:00:00,0.06350344,0.058479327,0.06350344,0.176817884,0.06350344,0.058479327,0.208858587
2021/7/23,18:00:00,0.062571104,0.059010753,0.062571104,0.151790006,0.062571104,0.059010753,0.177183375
2021/7/23,19:00:00,0.06770722,0.050991616,0.06770722,0.147972128,0.06770722,0.050991616,0.168275088
2021/7/23,20:00:00,0.068100455,0.046777473,0.068100455,0.139255499,0.068100455,0.046777473,0.159366801
2021/7/23,21:00:00,0.075954318,0.045142242,0.075954318,0.143908201,0.075954318,0.045142242,0.154912658
2021/7/23,22:00:00,0.097184828,0.044616095,0.097184828,0.153510457,0.097184828,0.044616095,0.161841139
2021/7/23,23:00:00,0.102117735,0.043890117,0.102117735,0.158022449,0.102117735,0.043890117,0.143033825
2021/7/24,0:00:00,0.114388016,0.047150694,0.114388016,0.171476674,0.114388016,0.047150694,0.15540719
2021/7/24,1:00:00,0.133850297,0.059366931,0.133850297,0.202622503,0.133850297,0.059366931,0.204404444
2021/7/24,2:00:00,0.146210763,0.062902431,0.146210763,0.199329109,0.146210763,0.062902431,0.188567676
2021/7/24,3:00:00,0.17661317,0.070589003,0.17661317,0.212203948,0.17661317,0.070589003,0.196485221
2021/7/24,4:00:00,0.165674799,0.068276508,0.165674799,0.193033331,0.165674799,0.068276508,0.180648454
2021/7/24,5:00:00,0.169672875,0.064493755,0.169672875,0.168838837,0.169672875,0.064493755,0.153427385
2021/7/24,6:00:00,0.156035047,0.058627726,0.156035047,0.136615396,0.156035047,0.058627726,0.119772367
2021/7/24,7:00:00,0.166000947,0.064353496,0.166000947,0.15381954,0.166000947,0.064353496,0.138579682
2021/7/24,8:00:00,0.206162652,0.074403679,0.206162652,0.201709216,0.206162652,0.074403679,0.208858587
2021/7/24,9:00:00,0.211544463,0.071682638,0.211544463,0.217404094,0.211544463,0.071682638,0.227665901
2021/7/24,10:00:00,0.216543142,0.077493681,0.216543142,0.222744336,0.216543142,0.077493681,0.244987942
2021/7/24,11:00:00,0.192846925,0.072177459,0.192846925,0.196887815,0.192846925,0.072177459,0.234594382
2021/7/24,12:00:00,0.134352426,0.053838863,0.134352426,0.144611155,0.134352426,0.053838863,0.171740167
2021/7/24,13:00:00,0.109745614,0.045347475,0.109745614,0.111847121,0.109745614,0.045347475,0.134125538
2021/7/24,14:00:00,0.066036117,0.030711634,0.066036117,0.07288184,0.066036117,0.030711634,0.087106414
2021/7/24,15:00:00,0.045446483,0.020026464,0.045446483,0.055163924,0.045446483,0.020026464,0.070775114
2021/7/24,16:00:00,0.036656836,0.009758731,0.036656836,0.036970686,0.036656836,0.009758731,0.030189939
2021/7/24,17:00:00,0.02549373,0.007642308,0.02549373,0.024390359,0.02549373,0.007642308,0.027221069
2021/7/24,18:00:00,0.022528069,0.007071091,0.022528069,0.023263907,0.022528069,0.007071091,0.025241263
2021/7/24,19:00:00,0.010083848,0.00254865,0.010083848,0.006434033,0.010083848,0.00254865,0.006928481
2021/7/24,20:00:00,0.01026368,0.001414789,0.01026368,0.003054146,0.01026368,0.001414789,0.000989065
2021/7/24,21:00:00,0.009881138,0.000724962,0.009881138,0.002476183,0.009881138,0.000724962,0.000494532
2021/7/24,22:00:00,0.001370229,3.50E-05,0.001370229,0.000182043,0.001370229,3.50E-05,0.000494532
2021/7/24,23:00:00,0.000179441,3.26E-06,0.000179441,0.000177659,0.000179441,3.26E-06,0.000494532
2021/7/25,0:00:00,9.02E-05,1.38E-06,9.02E-05,0.000249362,9.02E-05,1.38E-06,0.000494532
2021/7/25,1:00:00,0.000124805,7.76E-07,0.000124805,0.000171253,0.000124805,7.76E-07,0.000494532
2021/7/25,2:00:00,0.000123367,4.63E-07,0.000123367,0.000145955,0.000123367,4.63E-07,0.000494532
2021/7/25,3:00:00,9.26E-05,3.35E-06,9.26E-05,0.000201867,9.26E-05,3.35E-06,0.000494532
2021/7/25,4:00:00,0.000333791,3.07E-05,0.000333791,0.000295427,0.000333791,3.07E-05,0.000494532
2021/7/25,5:00:00,0.001137876,9.77E-05,0.001137876,0.000643458,0.001137876,9.77E-05,0.000494532
2021/7/25,6:00:00,0.001053023,9.43E-05,0.001053023,0.000681404,0.001053023,9.43E-05,0.000494532
2021/7/25,7:00:00,6.95E-05,2.68E-05,6.95E-05,2.75E-05,6.95E-05,2.68E-05,0
2021/7/25,8:00:00,0,0,0,0,0,0,0
2021/7/25,9:00:00,0,0,0,0,0,0,0
2021/7/25,10:00:00,0,0,0,0,0,0,0
2021/7/25,11:00:00,0,0,0,0,0,0,0
2021/7/25,12:00:00,0,0,0,0,0,0,0
2021/7/25,13:00:00,0,0,0,0,0,0,0
2021/7/25,14:00:00,0,0,0,0,0,0,0
2021/7/25,15:00:00,0,0,0,0,0,0,0
2021/7/25,16:00:00,0,0,0,0,0,0,0
2021/7/25,17:00:00,0,0,0,0,0,0,0
2021/7/25,18:00:00,0,0,0,0,0,0,0
2021/7/25,19:00:00,0,0,0,0,0,0,0
2021/7/25,20:00:00,0,0,0,0,0,0,0
2021/7/25,21:00:00,0,0,0,0,0,0,0
2021/7/25,22:00:00,0,0,0,0,0,0,0
2021/7/25,23:00:00,0,0,0,0,0,0,0
,,,,,,,,
,,,,,,,,
District,Number of permanent residents,Accounting for the proportion of the city's permanent population,Death in 7·20,,,,,
GongYi,785242,6.23%,84,,,,,
XingYang,927534,7.36%,94,,,,,
DengFeng,729332,5.79%,13,,,,,
XinMi,826031,6.56%,58,,,,,
XinZheng,1793619,14.23%,2,,,,,
ZhengZhou (urban area),6836159,54.25%,129,,,,,
ZhongMou,702657,5.58%,0,,,,,
