t_i,Q_i,unit_i,lon_i,lat_i,text_i
29.60605555,1,3,113.738,34.3186,#Henan Flood Relief# I'm trapped in Zhengzhou. Water has just reached ankle level and several nearby roads are impassable on foot. There are no vehicles nearby. I urgently need someone to arrange transportation for me.
31.82138889,4,3,113.7338,34.5607,#Zhengzhou Flood SOS# URGENT — nearby intersections are flooded and we can't get out. Food is running low. I'm hoping someone can bring us some food.
33.38944444,6,1,114.2335,34.9304,#Zhengzhou Flood Relief# Hospital emergency — floodwater has entered the first floor and reached chest level. We can't get through to 119. CRITICAL EMERGENCY. The hospital's backup batteries are completely drained. Cardiac monitors have stopped. Emergency departments are in extreme danger. Urgently need multiple generators immediately.
34.11666667,2,3,113.7217,34.9043,(Please share!) #Henan Flood Relief# We waded back through waist-deep water — it was terrifying. The entire area is submerged. Our home is no longer safe. Please let me know if there is anywhere nearby that can shelter a few people.
34.21416667,1,3,113.7217,34.9043,"#Henan Flood Relief# SOS! Today's rain in Zhengzhou is absolutely relentless. Road flooding is nearly waist-deep and getting around is completely impossible. My family and I are all trapped. Please, if anyone has a vehicle, come and help us."
34.60416667,3,1,114.054,34.6288,#Zhengzhou Rainstorm# [Hospital Emergency SOS] Floating debris is everywhere on the roads. The deepest flooding is at waist level — it's extremely dangerous. We need more hands inside the hospital. Even a few caring volunteers would make a huge difference.
36.31694444,2,3,114.137,34.3915,"#Henan Rainstorm# Friends in Zhengzhou, please help. Water is at waist level. A few of us can barely move forward by holding hands. My family and I need to evacuate. Please, can someone tell me if there is any safe temporary shelter nearby?"
36.35716666,1,3,114.137,34.3915,#Henan Flood Relief# I'm trapped in Zhengzhou. Water levels keep rising — by this afternoon the flooding was thigh-deep and we're completely unable to get out. We have elderly relatives who need to be evacuated. Urgently need at least one vehicle to come and take us.
36.51805556,6,1,113.2195,34.7825,#Henan Flood Relief# Hospital emergency — we've been trapped here since two in the afternoon. Water levels keep rising and the flooding has now reached neck level. The entire hospital has lost power. The ICU and operating rooms are being sustained with manual ventilation bags. Urgently need multiple large generators delivered immediately.
36.69277778,5,3,113.0864,34.4928,"#Zhengzhou Rainstorm# Please share. Water has risen to chest level. Power and water are out, and calls can't get through. The situation is extremely dangerous. We have no clean water left at home and can't go out due to flooding. Desperately need help."
36.78816667,4,3,113.0864,34.4928,"#Zhengzhou Rainstorm# Everyone please help. Flooding inside the community keeps rising. Adults can no longer wade through it — the water is at waist level. We're trapped at home and food is running out. We can't get outside. Please, someone bring us food."
37.16972222,2,3,112.7388,34.4316,#Zhengzhou Rainstorm# Please help. Water at the community entrance has reached ankle level and it's difficult to get in and out. Is there anywhere nearby to take shelter for a while? I need a place to stay.
37.44688889,1,3,112.7388,34.4316,#Henan Flood Relief# I'm trapped in Zhengzhou. A small amount of water has begun seeping into my first floor. The situation is still early-stage but there are no vehicles nearby. I urgently need someone to arrange transportation for me.
38.55555556,6,2,113.518,34.8418,"#Henan Rainstorm# EXTREMELY URGENT — we waded back through waist-deep water — it was terrifying. The entire area is submerged. Our community is severely waterlogged. The existing pump we have is completely inadequate. Please, can someone dispatch several more pumps to help drain the water?"
40.67138889,1,2,113.1765,34.5937,#Henan Flood Relief# Please share and help! It's nighttime and the power is out. The sound of water outside is overwhelming. Flooding has reached the top of the first floor and water levels are still rising. Urgently need multiple transport vehicles to help evacuate residents to higher ground.
44.16305556,5,1,113.0323,34.7763,Zhengzhou #Henan Flood Relief# Hospital emergency SOS: This is the worst rainstorm since Zhengzhou's meteorological records began. We are completely isolated and unable to contact any rescue force. Floodwater has reached mid-building level. The situation is absolutely critical. We are begging for help. The hospital's water supply is completely cut off. Countless patients are critically short of drinking water with vital signs at risk. Please urgently dispatch large supplies.
44.18761111,4,1,113.0323,34.7763,#Henan Flood Relief# 🆘 Water has been rising since morning. The entire building is in darkness and communications devices are nearly out of power. The number of people trapped here is uncountable — many are elderly or children. This is an extreme emergency. Food is in desperate shortage. An enormous number of people inside are starving. Any food must be brought in immediately.
44.28583333,2,3,112.7367,34.5263,#Zhengzhou Rainstorm# Everyone please help — outdoor water depth has surpassed knee level and all vehicles are submerged. We have nowhere to go. Our home is no longer safe. Please let me know if there is anywhere nearby to shelter a few people.
44.48422222,1,3,112.7367,34.5263,"(Please share!) #Henan Flood Relief# Today's rain in Zhengzhou is absolutely relentless. Road flooding is nearly waist-deep and getting around is completely impossible. My family and I are all trapped. Please, if anyone has a vehicle, come and help us."
45.27777778,4,3,113.9911,34.5755,"#Zhengzhou Flood SOS# URGENT — road flooding has reached thigh level and walking is extremely difficult. All electric scooters are down. With many people in the household, food is being consumed rapidly and we're critically short. Please, someone bring us something to eat."
47.52472222,6,2,113.3024,34.87,#Zhengzhou Rainstorm# [Community Emergency SOS] Water is slowly creeping up to front doors but hasn't entered homes yet. The community's drainage system is overwhelmed — we need some mechanical equipment to help.
48.07611111,1,2,113.0375,34.9624,#Henan Rainstorm# Community emergency — we've been trapped here since two in the afternoon. Water levels keep rising and the flooding has now reached neck level. The entire community is sealed off. Urgently need multiple vehicles or boats to break open an evacuation route.
48.38638889,3,2,113.0644,34.5666,Zhengzhou #Henan Flood Relief# Community SOS: Roads in the area have standing water but are still barely passable. Several elderly residents in the community need someone to look after them. We're hoping a few volunteers can come to help.
50.27611111,2,3,113.8793,34.8063,"#Zhengzhou Rainstorm# Please help. A small amount of water has begun seeping into my first floor. The situation is still in its early stages, but my home is already taking on water. I'm looking for a safe place to wait this out."
50.30694444,1,3,113.8793,34.8063,"#Henan Rainstorm# Friends in Zhengzhou, please help — water at the community entrance has reached ankle level and it's difficult to get in and out. I can't get out alone. I hope someone with a kind heart will drive over to help."
50.43027778,2,3,112.8428,34.716,#Henan Flood Relief# SOS! Nearby intersections are flooded and we can't get out. My first floor is now taking on water. I'm looking for a safe place to wait this out.
50.53533334,1,3,112.8428,34.716,#Zhengzhou Rainstorm# Please share. Water is pooling in the courtyard and low-lying areas are already knee-deep. There are no vehicles nearby. I urgently need someone to arrange transportation for me.
50.95555556,6,2,113.6916,34.2858,#Zhengzhou Flood SOS# Please spread the word! Flooding inside the community keeps rising. Adults can no longer wade through it — the water is at waist level. The residential area is severely waterlogged. We need several large pumps to drain the water — manual effort alone is hopeless.
51.27222222,5,1,113.898,34.8605,"#Zhengzhou Rainstorm# [Hospital Emergency SOS] This catastrophic rainstorm has completely submerged the entire first floor of our building and water is starting to enter the second floor. Large numbers of elderly residents and children are trapped. The hospital's water supply is severely disrupted, and a large number of medical staff and patients have gone days without clean drinking water. The situation is critical."
51.36638889,4,1,113.898,34.8605,"#Henan Flood Relief# Hospital emergency — the entire community is surrounded by floodwaters. No one can come in or out. Among those trapped are the elderly, pregnant women, and children. The situation is dire. A large number of people inside are starving and all food reserves have been completely exhausted. Please urgently dispatch food and supplies in large quantities."
51.74305556,2,3,114.1206,34.4069,#Henan Flood Relief# SOS! Water has seeped into the corridor entrance and things are just starting to get bad. Is there anywhere nearby to take shelter for a while? I need a place to stay.
52.19238889,1,3,114.1206,34.4069,"#Henan Rainstorm# Friends in Zhengzhou, please help — water has just reached ankle level and several nearby roads are impassable on foot. I can't get out alone. Hoping someone with a kind heart will drive over to help."
53.98972222,5,1,113.7623,34.3592,"Zhengzhou #Henan Flood Relief# URGENT! Floodwater is pouring in uncontrollably. The water is nearly three meters deep. Everyone in the building is trapped — the elderly, infants, and pregnant women among them. Calls cannot get through. We are begging for emergency rescue from all directions. Drinking water is in extreme shortage. Dialysis patients and other critically ill individuals can no longer maintain normal treatment. Emergency assistance needed immediately."
54.29655555,4,1,113.7623,34.3592,#Henan Flood Relief# 🆘 Today's disaster in Zhengzhou is truly terrifying. Water levels are rising at an alarming rate and all roads are completely cut off. A large number of people here have been trapped for an extended time. All lifelines are severed. The situation is harrowing. Hospital staff and patients have gone days without proper food or water. Complete food cutoff. Please mobilize the largest-scale relief effort possible.
55.52388889,4,3,113.1772,34.4387,"#Zhengzhou Rainstorm# Everyone please help — water is at waist level and a few of us can barely move forward by holding hands. We're trapped at home and food is running out. We can't get outside. Please, someone bring us food."
59.44833333,2,3,113.2493,34.7344,#Zhengzhou Flood SOS# URGENT — a small amount of water has begun seeping into my first floor. The situation is still in the early stages. Is there anywhere nearby to take shelter for a while? I need a place to stay.
59.48205555,1,3,113.2493,34.7344,#Henan Flood Relief# I'm trapped in Zhengzhou. Water is pooling in the courtyard and low-lying areas are already knee-deep. There are no vehicles nearby. I urgently need someone to arrange transportation for me.
59.61694444,5,1,113.7133,34.8499,#Zhengzhou Flood Relief# Hospital emergency — 24-hour rainfall in Zhengzhou has broken all historical records. Our entire district is submerged like an island. The flooding continues to surge. Power and water are cut off. The lives of a large number of people are in extreme danger. Drinking water is in extreme shortage. Dialysis patients and other critically ill individuals can no longer maintain normal treatment. Emergency assistance needed immediately.
59.68505555,4,1,113.7133,34.8499,Zhengzhou #Henan Flood Relief# Hospital emergency SOS: Water has been rising since morning. The entire building is in darkness and communications devices are nearly out of power. The number of people trapped is uncountable — many are elderly or children. This is an extreme emergency. Hospital staff and patients have gone days without proper food or water. Complete food cutoff. Please mobilize the largest-scale relief effort possible.
59.9575,3,1,113.4697,34.4648,#Henan Rainstorm# [Emergency SOS — Please Share] The hospital situation is critical. Outdoor water levels have surpassed chest height. An elderly neighbor is trapped on the first floor. The situation is critical. Urgently need a significant number of volunteers to help transfer patients and move emergency supplies — the faster the better.
60.195,2,3,113.5395,34.7196,#Zhengzhou Rainstorm# Please share. Water has seeped into the corridor entrance and things are just starting to get bad. My first floor is now taking on water. I'm looking for a safe place to wait this out.
60.32622222,1,3,113.5395,34.7196,#Zhengzhou Rainstorm# Please help. Nearby intersections are flooded and we can't get out. I can't get out alone. Hoping a kind-hearted person will drive over to help.
60.85111111,6,2,113.0143,34.9338,#Henan Flood Relief# Please spread the word — water is slowly creeping to my front door but hasn't entered the house yet. The community's drainage system is overwhelmed. We're hoping to get a pump to help clear the water.
61.0925,4,3,114.0428,34.4436,"(Please share!) #Henan Flood Relief# Today's rain in Zhengzhou is absolutely relentless. Road flooding is nearly waist-deep and getting around is completely impossible. With many people in the household, food is being consumed rapidly and we're critically short. Please, someone bring us something to eat."
61.97083333,2,3,112.7844,34.5583,"#Henan Rainstorm# Friends in Zhengzhou, please help — water at the community entrance has reached ankle level and it's difficult to get in and out. My first floor is now taking on water. I'm looking for a safe place to wait this out."
62.12027778,1,3,112.7844,34.5583,#Zhengzhou Flood SOS# URGENT — roads in the area have standing water but are still barely passable. There are no vehicles nearby. I urgently need someone to arrange transportation for me.
62.71805556,5,3,113.3724,34.7399,#Zhengzhou Rainstorm# Everyone please help — floodwater has entered the first floor and reached chest level. We can't get through to 119. This is an extreme emergency. All our drinking water is gone and we can't go out to get more. Things are getting harder and harder. Please bring us water.
63.02905556,4,3,113.3724,34.7399,"#Zhengzhou Rainstorm# Please share — road flooding has reached thigh level and walking is extremely difficult. All electric scooters are down. We're trapped at home and food is running out. We can't get outside. Please, someone bring us food."
64.27305556,2,3,113.7306,34.4939,#Zhengzhou Rainstorm# Please help — water has just reached ankle level and several nearby roads are impassable on foot. Is there anywhere nearby to take shelter for a while? I need a place to stay.
64.29683334,1,3,113.7306,34.4939,#Henan Flood Relief# SOS! Roads in the area have standing water but are still barely passable. I can't get out alone. Hoping someone with a kind heart will drive over to help.
64.39194444,6,2,113.657,34.9564,"#Henan Flood Relief# Please share and help! Water levels keep rising — by this afternoon the flooding was thigh-deep and we're completely unable to get out. Our community is severely waterlogged. The existing pump is completely inadequate. Please, can someone dispatch several more pumps to help drain the water?"
64.90027778,2,3,113.8897,34.635,"(Please share!) #Henan Flood Relief# Water has seeped in through the corridor entrance. Things are just starting to get bad, and my first floor is now taking on water. I'm looking for a safe place to wait this out."
64.965,1,3,113.8897,34.635,#Henan Flood Relief# I'm trapped in Zhengzhou. Nearby intersections are flooded and we can't get out. I can't get out alone. Hoping someone with a kind heart will drive over to help.
65.22388889,4,3,113.0347,34.3184,"#Henan Rainstorm# Friends in Zhengzhou, please help — water is slowly creeping to my front door but hasn't entered the house yet. My emergency food reserves are running low. If anyone can send over some food, that would be wonderful."
65.28694444,5,2,113.7866,34.9592,"#Henan Flood Relief# Please spread the word! Floodwater is pouring in uncontrollably. The water is nearly three meters deep. Everyone in the building is trapped — the elderly, infants, and pregnant women among them. Calls cannot get through. We are begging for emergency rescue from all directions. The entire area's water supply is completely cut off. Countless residents face a severe water shortage crisis, with children and the elderly at greatest risk."
65.428,4,2,113.7866,34.9592,#Henan Rainstorm# EXTREMELY URGENT — road surface flooding has exceeded the height of two stories. Rescue vehicles are nowhere to be found. Mobile signal keeps cutting in and out. Emergency help needed immediately. Food supply across the entire community has run out. A large number of families have nothing left to eat. Urgently need large quantities of food and supplies.
65.99222222,2,3,113.9439,34.7169,#Henan Flood Relief# SOS! Water has just reached ankle level and several nearby roads are impassable on foot. Is there anywhere nearby to take shelter for a while? I need a place to stay.
66.03444444,1,3,113.9439,34.7169,#Henan Flood Relief# I'm trapped in Zhengzhou. Water is pooling in the courtyard and low-lying areas are already knee-deep. There are no vehicles nearby. I urgently need someone to arrange transportation for me.
66.20333333,5,1,113.6803,34.7587,#First Affiliated Hospital of Zhengzhou University# #Henan Flood Relief# EMERGENCY SOS! This is the worst rainstorm in Zhengzhou's recorded history. We are completely isolated and unable to contact any rescue forces. Floodwater has risen to mid-building level. The situation is absolutely critical. We are begging for help. The hospital's water supply is completely cut off. Countless patients are critically short of drinking water with vital signs at risk. Please urgently dispatch large supplies.
66.22333333,4,1,113.6803,34.7587,Zhengzhou #Henan Flood Relief# URGENT! Today's disaster in Zhengzhou is truly terrifying. Water levels are rising at an alarming rate and all roads are completely cut off. A large number of people here have been trapped for an extended time. All lifelines are severed. The situation is harrowing. Food is in desperate shortage. An enormous number of people inside are starving. Any food must be brought in immediately.
66.30333333,3,2,113.2463,34.6696,"Zhengzhou #Henan Flood Relief# Community SOS: We waded back through waist-deep water — it was terrifying. The entire area is submerged. Community rescue staff is limited. Please, several volunteers come to help patrol and evacuate residents."
67.16944444,2,3,112.9313,34.3684,(Please share!) #Henan Flood Relief# A small amount of water has begun seeping into my first floor. The situation is still in the early stages. Is there anywhere nearby to take shelter for a while? I need a place to stay.
67.17605555,1,3,112.9313,34.3684,#Zhengzhou Rainstorm# Please share — water at the community entrance has reached ankle level and it's difficult to get in and out. There are no vehicles nearby. I urgently need someone to arrange transportation for me.
67.2025,5,3,113.5228,34.3815,"#Zhengzhou Rainstorm# Please help — water has seeped in through the corridor entrance and things are just starting to get bad. Our household water supply is running low. If anyone can bring some over, that would be a lifesaver."
67.29138889,4,3,113.5228,34.3815,#Zhengzhou Flood SOS# URGENT — a small amount of water has begun seeping into my first floor. The situation is still in the early stages. Food at home is nearly gone. I'm hoping someone can bring us some food.
67.64694444,2,3,113.8089,34.5321,#Zhengzhou Rainstorm# Everyone please help — water is slowly creeping to my front door but hasn't entered the house yet. My first floor is now taking on water. I'm looking for a safe place to wait this out.
67.67472222,1,3,113.8089,34.5321,(Please share!) #Henan Flood Relief# Water at the community entrance has reached ankle level and it's difficult to get in and out. I can't get out alone. Hoping someone with a kind heart will drive over to help.
67.78583333,4,3,113.6918,34.7454,#Henan Flood Relief# SOS! Water has just reached ankle level and several nearby roads are impassable on foot. Food is running low. I'm hoping someone can bring us some food.
68.05944444,3,1,113.7177,34.4427,Zhengzhou #Henan Flood Relief# Hospital emergency SOS: Power has gone out across the entire area. Floodwater has reached chest level and is still rising toward the second floor. All staff are working around the clock. A substantial number of volunteers are needed to keep operations going. Please come immediately.
69.99527778,4,3,113.2071,34.3158,"#Zhengzhou Rainstorm# Everyone please help — there are floating debris everywhere on the roads and the deepest flooding is at waist level. It's extremely dangerous. We're trapped at home and food is running out. We can't get outside. Please, someone bring us food."
70.70583333,2,3,114.0712,34.9299,#Zhengzhou Rainstorm# Please share — water is pooling in the courtyard and low-lying areas are already knee-deep. Is there anywhere nearby to take shelter for a while? I need a place to stay.
70.75894444,1,3,114.0712,34.9299,#Zhengzhou Rainstorm# Please help — nearby intersections are flooded and we can't get out. I can't get out alone. Hoping a kind-hearted person will drive over to help.
70.97138889,5,2,113.9761,34.3601,"#Zhengzhou Rainstorm# Posting on behalf of residents: Water has risen to chest level, power and water are out, and calls can't get through. The situation is extremely dangerous. The entire community's water supply system has been destroyed. A large number of residents have been without water for several days. Urgently need large quantities of drinking water."
71.51411111,4,2,113.9761,34.3601,#Zhengzhou Flood SOS# Please spread the word! Water is chest-high. Our family of three is trapped on the second floor — the staircase is completely submerged and there's no way out. Residents' stored food has run out. Many people haven't eaten for a day. Please urgently send large quantities of food.
73.685,4,3,113.5197,34.5905,"#Henan Flood Relief# I'm trapped in Zhengzhou. Roads in the area have standing water but are still barely passable. My emergency food reserves are running low. If anyone can send over some food, that would be wonderful."
75.17666667,2,3,112.7412,34.4025,"#Henan Rainstorm# Friends in Zhengzhou, please help — water has just reached ankle level and several nearby roads are impassable on foot. My first floor is now taking on water. I'm looking for a safe place to wait this out."
75.23044445,1,3,112.7412,34.4025,#Zhengzhou Flood SOS# URGENT — nearby intersections are flooded and we can't get out. There are no vehicles nearby. I urgently need someone to arrange transportation for me.
75.44555556,5,2,113.12,34.6623,#Henan Rainstorm# Community emergency — 24-hour rainfall in Zhengzhou has broken all historical records. Our entire district is submerged like an island. The flooding continues to surge. Power and water are cut off. The lives of a large number of people are in extreme danger. Drinking water is in extreme shortage across the entire community. A massive number of residents are desperately in need. Please urgently dispatch large quantities immediately.
75.475,4,2,113.12,34.6623,"#Zhengzhou Rainstorm# [Community Emergency SOS] Road surface flooding has exceeded the height of two stories. Rescue vehicles are nowhere to be found. Mobile signal keeps cutting in and out. Emergency help needed now. The community has been sealed off for days. A large number of residents are severely short of food, with the elderly and children in the most critical condition."
75.59277778,3,2,113.7856,34.6696,#Zhengzhou Rainstorm# Posting on behalf of residents: My phone is almost dead. Floodwater in the stairwell has reached chest level. We are completely unable to get out. SOS! The community needs a substantial number of volunteers to help evacuate residents and relay supplies.
75.78611111,6,3,113.831,34.2753,"#Henan Rainstorm# Friends in Zhengzhou, please help — water at the community entrance has reached ankle level and it's difficult to get in and out. The courtyard is flooded and can't drain. All we need is one small pump. Please help."
76.73972222,5,3,113.2554,34.3647,"(Please share!) #Henan Flood Relief# Outdoor water depth has surpassed knee level and all vehicles are submerged. We have nowhere to go. We're trapped at home and our drinking water is nearly gone. Please, someone bring us water."
76.9075,4,3,113.2554,34.3647,#Henan Flood Relief# SOS! Water is slowly creeping up to my front door but hasn't entered the house yet. Food at home is nearly gone. I'm hoping someone can bring us some food.
77.57861111,6,3,113.6787,34.434,#Henan Flood Relief# I'm trapped in Zhengzhou. Water is pooling in the courtyard and low-lying areas are already knee-deep. The drain at my front door is clogged. I'm hoping to borrow a small pump.
77.81166667,4,2,113.8521,34.6297,#Zhengzhou Rainstorm# [Community Emergency SOS] Outdoor water levels are rising visibly by the second. The top of the first floor has disappeared underwater. Communication is increasingly difficult. The situation is extremely grave. The entire community's food supply has run out. A large number of families have nothing left to eat. Urgently need large quantities of food and supplies.
77.87788889,4,2,113.8521,34.6297,"#Zhengzhou Flood SOS# Please spread the word! This catastrophic rainstorm has completely submerged the entire first floor of our building, and water is starting to enter the second floor. Large numbers of elderly residents and children are trapped. The entire community's food supply has run out. A large number of families have nothing left to eat. Urgently need large quantities of food and supplies."
78.14277778,5,3,113.5935,34.3372,"#Zhengzhou Rainstorm# Everyone please help — water has seeped in through the corridor entrance and things are just starting to get bad. Tap water has been cut off and my bottled water is almost gone. Please, someone help."
78.16222222,4,3,113.5935,34.3372,"#Zhengzhou Rainstorm# Please share — a small amount of water has begun seeping into my first floor. The situation is still in the early stages. My emergency food reserves are running low. If anyone can send over some food, that would be wonderful."
78.24,6,2,113.5782,34.3071,#Henan Rainstorm# Community emergency — roads in the area have standing water but are still barely passable. The community's drainage system is overwhelmed. We need some mechanical equipment to help.
80.88416667,5,2,112.8892,34.4395,"#Henan Flood Relief# Please share and help! Power and water have been cut for over ten hours. The entire first floor is submerged and we are stranded on higher floors. Emergency calls cannot get through. Water supply has been severely disrupted. A large number of residents have completely exhausted their drinking water reserves. Conditions for the elderly, young, sick, and disabled are critical."
